match_no,date,venue,group,match,1,2,attendance,1_xg,2_xg,1_poss,2_poss,1_goals,2_goals,score,1_attempts,2_attempts,1_conceded,2_conceded,1_goal_inside_penalty_area,2_goal_inside_penalty_area,1_goal_outside_penalty_area,2_goal_outside_penalty_area,1_ontarget,2_ontarget,1_offtarget,2_offtarget,1_attempts_inside_penalty_area,2_attempts_inside_penalty_area,1_attempts_outside_penalty_area,2_attempts_outside_penalty_area,1_yellow_cards,2_yellow_cards,1_red_cards,2_red_cards,faul_against_1,faul_against_2,1_offsides,2_offsides,1_passes,2_passes,1_passes_compeletd,2_passes_compeletd,1_corners,2_corners,1_free_kicks,2_free_kicks,1_panelties_scored,2_panelties_scored,1_goal_prevented,2_goal_prevented,1_own_goal,2_own_goal,1_defensive_pressure_applied,2_defensive_pressure_applied,Result,1_pass_success,2_pass_success,winning_pass_success,Team_1_Goals_Diff,Team_2_Goals_Diff
24,26-Nov-22,Lusail Iconic Stadium,Group C,ARGENTINA vs MEXICO,ARGENTINA,MEXICO,88966,0.3,0.3,0.58,0.42,2,0,"2,0",5,4,0,2,1,0,1,0,2,1,3,2,2,1,3,3,1,4,0,0,15,19,2,4,533,356,464,287,4,2,23,17,0,0,4,5,0,0,220,327,ARGENTINA,0.8705440900562852,0.8061797752808989,0.8705440900562852,1.7,-0.3
25,27-Nov-22,Ahmed bin Ali Stadium,Group E,JAPAN vs COSTA RICA,JAPAN,COSTA RICA,41479,0.9,0.1,0.57,0.43,0,1,"0,1",14,4,1,0,0,1,0,0,3,1,4,1,7,1,7,3,3,3,0,0,22,9,0,2,575,444,510,371,5,0,11,22,0,0,4,14,0,0,300,294,COSTA RICA,0.8869565217391304,0.8355855855855856,0.8355855855855856,-0.9,0.9
26,27-Nov-22,Al Thumama Stadium,Group F,BELGIUM vs MOROCCO,BELGIUM,MOROCCO,43738,1.0,1.5,0.67,0.33,0,2,"0,2",10,11,2,0,0,2,0,0,4,4,6,6,5,6,5,5,1,1,0,0,10,14,3,3,671,317,598,275,9,1,17,13,0,0,11,10,0,0,194,360,MOROCCO,0.8912071535022354,0.8675078864353313,0.8675078864353313,-1.0,0.5
27,27-Nov-22,Khalifa International Stadium,Group F,CROATIA vs CANADA,CROATIA,CANADA,44374,2.6,0.4,0.49,0.51,4,1,"4,1",13,9,1,4,3,1,1,0,10,2,2,3,9,2,4,7,2,2,0,0,13,5,1,3,462,511,391,434,5,2,8,14,0,0,9,13,0,0,347,316,CROATIA,0.8463203463203464,0.8493150684931506,0.8463203463203464,1.4,0.6
28,27-Nov-22,Al Bayt Stadium,Group E,SPAIN vs GERMANY,SPAIN,GERMANY,68895,0.6,1.3,0.64,0.36,1,1,"1,1",7,10,1,1,1,1,0,0,3,4,4,5,3,7,4,3,1,3,0,0,13,11,2,5,647,352,565,281,6,5,16,15,0,0,11,7,0,0,275,387,Draw,0.8732612055641422,0.7982954545454546,,0.4,-0.30000000000000004
29,28-Nov-22,Al Janoub Stadium,Group G,CAMEROON vs SERBIA,CAMEROON,SERBIA,39789,2.2,1.9,0.41,0.59,3,3,"3,3",13,16,3,3,3,2,0,1,8,6,3,8,9,11,4,5,2,2,0,0,8,13,0,4,364,513,271,433,4,3,17,8,0,0,16,13,0,0,285,234,Draw,0.7445054945054945,0.8440545808966862,,0.7999999999999998,1.1
30,28-Nov-22,Education City Stadium,Group H,KOREA REPUBLIC vs GHANA,KOREA REPUBLIC,GHANA,43983,1.8,1.6,0.63,0.37,2,3,"2,3",21,8,3,2,2,3,0,0,6,3,8,3,15,7,6,1,2,2,0,0,13,9,1,1,540,319,477,260,12,5,10,14,0,0,8,21,0,0,220,324,GHANA,0.8833333333333333,0.8150470219435737,0.8150470219435737,0.19999999999999996,1.4
31,28-Nov-22,Stadium 974,Group G,BRAZIL vs SWITZERLAND,BRAZIL,SWITZERLAND,43649,1.0,0.3,0.54,0.46,1,0,"1,0",9,4,0,1,1,0,0,0,5,0,2,1,6,2,3,2,1,1,0,0,10,17,3,1,565,488,498,415,8,3,18,13,0,0,4,9,0,0,282,344,BRAZIL,0.8814159292035398,0.8504098360655737,0.8814159292035398,0.0,-0.3
32,28-Nov-22,Lusail Iconic Stadium,Group H,PORTUGAL vs URUGUAY,PORTUGAL,URUGUAY,88668,1.3,1.3,0.59,0.41,2,0,"2,0",14,10,0,2,1,0,1,0,4,3,7,6,4,6,10,4,3,2,0,0,10,16,2,0,596,390,517,306,6,2,15,13,1,0,11,14,0,0,226,362,PORTUGAL,0.8674496644295302,0.7846153846153846,0.8674496644295302,0.7,-1.3
33,29-Nov-22,Khalifa International Stadium,Group A,NETHERLANDS vs QATAR,NETHERLANDS,QATAR,44569,0.9,2.1,0.61,0.39,2,0,"1,2",13,6,0,2,2,0,0,0,4,4,5,2,10,2,3,4,1,0,0,0,19,9,4,0,795,459,740,394,4,2,9,24,0,0,5,14,0,0,319,322,NETHERLANDS,0.9308176100628931,0.8583877995642701,0.9308176100628931,1.1,-2.1
